FIPS_COUNTY,State,state,climate,POP,AGE_GR0,AGE_GR1,AGE_GR2,AGE_GR3,AGE_GR4,MALE,AFFGEOID,HISPANIC,ASIAN_ALL,BLACK_NH,BLACK_ALL,WHITE_NH,WHITE_ALL,POVERTY,EDU,POP_DENSITY,ATKINSON,CORRRATIO,cases_WAVE1,deaths_WAVE1,cases_rate_WAVE1,deaths_rate_WAVE1,cases_WAVE2,deaths_WAVE2,cases_rate_WAVE2,deaths_rate_WAVE2,cases_WAVE3,deaths_WAVE3,cases_rate_WAVE3,deaths_rate_WAVE3
48043,48,Texas,South,9216,1.252278646,0.317491319,0.256293403,0.199001736,0.016601563,0.494574653,0500000US48043,0.444769965,0.016710069,0.002278646,0.002278646,0.512369792,0.922743056,0.123987124,0.852644088,0.575429251,0.364650073,0.000705348,11,0,119.3576389,0,180,2,1953.125,21.70138889,635,5,6890.190972,54.25347222
48045,48,Texas,South,1546,1.184993532,0.28007762,0.28007762,0.214100906,0.021345408,0.537516171,0500000US48045,0.352522639,0,0.02457956,0.02457956,0.572445019,0.85316947,0.156270519,0.864963504,0.663237203,3.33E-16,0,1,0,64.68305304,0,11,1,711.5135834,64.68305304,71,1,4592.496766,64.68305304
48047,48,Texas,South,7180,1.266573816,0.363509749,0.194707521,0.147771588,0.00724234,0.518662953,0500000US48047,0.938857939,0,0.000557103,0.006824513,0.055710306,0.899860724,0.389199818,0.700699976,2.938676197,0.276539055,0.002601846,2,0,27.8551532,0,213,16,2966.573816,222.8412256,324,11,4512.534819,153.2033426
48049,48,Texas,South,37834,1.23785484,0.291642438,0.260638579,0.170164402,0.021092139,0.496220331,0500000US48049,0.219352963,0.007427182,0.035417878,0.038695353,0.720330919,0.915340699,0.14493277,0.861441568,15.46694199,0.619088818,0.037514322,60,10,158.5875139,26.43125231,574,16,1517.153883,42.2900037,1720,30,4546.175398,79.29375694
48051,48,Texas,South,17863,1.237642053,0.281363713,0.267704193,0.180428819,0.022672563,0.502547165,0500000US48051,0.20472485,0.002239266,0.125398869,0.12646252,0.650338689,0.80042546,0.125794082,0.825104873,10.46523905,0.40575014,0.016612006,41,0,229.5247159,0,247,6,1382.746459,33.58898281,577,7,3230.140514,39.18714662
48053,48,Texas,South,45750,1.244043716,0.272590164,0.272459016,0.196371585,0.020874317,0.494907104,0500000US48053,0.221202186,0.008371585,0.018163934,0.018163934,0.737595628,0.920043716,0.110182606,0.881270434,17.76606423,0.604937931,0.026494584,62,1,135.5191257,2.18579235,604,11,1320.218579,24.04371585,1140,9,2491.803279,19.67213115
48055,48,Texas,South,41401,1.240863747,0.339484554,0.248713799,0.116832927,0.017511654,0.504649646,0500000US48055,0.514770175,0.010144682,0.058573464,0.06366996,0.403033743,0.79710635,0.177357819,0.787620306,29.3176956,0.532443722,0.029935725,147,0,355.0638873,0,1083,32,2615.878844,77.29281901,976,8,2357.43098,19.32320475
48057,48,Texas,South,21807,1.264731508,0.30049984,0.251341312,0.142935755,0.025312973,0.507268308,0500000US48057,0.484431605,0.047324254,0.024212409,0.025725684,0.427110561,0.866510753,0.141435282,0.807392055,16.61223705,0.437238622,0.016738468,46,3,210.9414408,13.75705049,557,4,2554.225707,18.34273398,552,3,2531.29729,13.75705049
48059,48,Texas,South,13770,1.251198257,0.263543936,0.282643428,0.18097313,0.018809005,0.49114016,0500000US48059,0.094408134,0.002832244,0.004793028,0.004793028,0.864197531,0.94734931,0.141254948,0.881809692,5.911486775,0.524414011,0.007552204,13,2,94.40813362,14.52432825,75,1,544.6623094,7.262164125,537,9,3899.782135,65.35947712
48061,48,Texas,South,421750,1.298382928,0.32077297,0.207886189,0.113294606,0.015172496,0.485567279,0500000US48061,0.894935388,0.006980439,0.003966805,0.005403675,0.090892709,0.944623592,0.305866918,0.671875764,182.7492668,0.851708537,0.012528781,1138,44,269.8280972,10.43272081,19910,713,4720.806165,169.0574985,7204,402,1708.120925,95.317131
